subject_id,group,p,scenario,channel_set,n_channels,channels,ft_strategy,seed,encoder_checkpoint,lr_encoder,lr_head,weight_decay,warmup_epochs,status,error,selected_threshold,val_f1_at_selected_threshold,n_calib,n_val,n_test,n_pos_calib,n_pos_val,n_pos_test,best_epoch,best_val_loss,stopped_epoch,auc,accuracy,f1,precision,recall,fdr,run_tag,history_path,predictions_path
subj_051,benchmark,0,scratch,ch3,3,"Cz,Pz,Oz",,42,,,,,,error,"ValueError('Channel mismatch: X has C=3, mean=14, std=14')",,,,,,,,,,,,,,,,,,,,
subj_051,benchmark,10,scratch,ch3,3,"Cz,Pz,Oz",,42,,,,0.0001,,ok,,0.05,0.21428571428571427,623.0,125.0,2670.0,74.0,15.0,314.0,1.0,0.6962497906684876,11.0,0.5166677030052015,0.11760299625468165,0.21045576407506703,0.11760299625468165,1.0,0.003002591321855976,ch3__benchmark__subj_051__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/history/ch3__benchmark__subj_051__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch3__benchmark__subj_051__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_051,benchmark,20,scratch,ch3,3,"Cz,Pz,Oz",,42,,,,0.0001,,ok,,0.395,0.2413793103448276,1246.0,250.0,2670.0,148.0,30.0,314.0,2.0,0.6980244789123535,12.0,0.5425989207660614,0.5217228464419476,0.21608348680171885,0.1338403041825095,0.5605095541401274,0.009984443199399872,ch3__benchmark__subj_051__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/history/ch3__benchmark__subj_051__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch3__benchmark__subj_051__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_051,benchmark,40,scratch,ch3,3,"Cz,Pz,Oz",,42,,,,0.0001,,ok,,0.4,0.22440944881889763,2492.0,499.0,2670.0,296.0,59.0,314.0,1.0,0.6748766779660701,11.0,0.545125333881241,0.2205992509363296,0.21619585687382298,0.12259718069201196,0.9140127388535032,0.007529991339136491,ch3__benchmark__subj_051__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/history/ch3__benchmark__subj_051__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch3__benchmark__subj_051__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_051,benchmark,60,scratch,ch3,3,"Cz,Pz,Oz",,42,,,,0.0001,,ok,,0.3,0.21419975932611313,3738.0,748.0,2670.0,444.0,89.0,314.0,1.0,0.7198047411633047,11.0,0.5547754479685962,0.13146067415730336,0.21095610751956448,0.1180952380952381,0.9872611464968153,0.018478623111931602,ch3__benchmark__subj_051__p60__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/history/ch3__benchmark__subj_051__p60__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch3__benchmark__subj_051__p60__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_051,benchmark,100,scratch,ch3,3,"Cz,Pz,Oz",,42,,,,0.0001,,ok,,0.4,0.32517482517482516,6230.0,1246.0,2670.0,740.0,148.0,314.0,2.0,0.6574380027539849,12.0,0.757142625414986,0.7161048689138577,0.3597972972972973,0.24482758620689654,0.678343949044586,0.46329216158269015,ch3__benchmark__subj_051__p100__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/history/ch3__benchmark__subj_051__p100__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch3__benchmark__subj_051__p100__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_052,benchmark,0,scratch,ch3,3,"Cz,Pz,Oz",,42,,,,,,error,"ValueError('Channel mismatch: X has C=3, mean=14, std=14')",,,,,,,,,,,,,,,,,,,,
subj_052,benchmark,10,scratch,ch3,3,"Cz,Pz,Oz",,42,,,,0.0001,,ok,,0.05,0.20689655172413793,650.0,130.0,2788.0,76.0,15.0,328.0,1.0,0.7055133691200843,11.0,0.497471743010113,0.11764705882352941,0.21052631578947367,0.11764705882352941,1.0,1.348998111114887e-06,ch3__benchmark__subj_052__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/history/ch3__benchmark__subj_052__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch3__benchmark__subj_052__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_052,benchmark,20,scratch,ch3,3,"Cz,Pz,Oz",,42,,,,0.0001,,ok,,0.39,0.20689655172413793,1301.0,261.0,2788.0,152.0,30.0,328.0,1.0,0.6984139861274953,11.0,0.5027854203846917,0.1323529411764706,0.21076672104404567,0.11801242236024845,0.9847560975609756,0.0036357290720379063,ch3__benchmark__subj_052__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/history/ch3__benchmark__subj_052__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch3__benchmark__subj_052__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_052,benchmark,40,scratch,ch3,3,"Cz,Pz,Oz",,42,,,,0.0001,,ok,,0.25,0.2194513715710723,2603.0,521.0,2788.0,305.0,61.0,328.0,1.0,0.8010658049766481,11.0,0.49801209597461826,0.37410329985652796,0.20428636570907432,0.12010723860589813,0.6829268292682927,0.00025729625632535803,ch3__benchmark__subj_052__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/history/ch3__benchmark__subj_052__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch3__benchmark__subj_052__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_052,benchmark,60,scratch,ch3,3,"Cz,Pz,Oz",,42,,,,0.0001,,ok,,0.31,0.24787775891341257,3903.0,781.0,2788.0,457.0,91.0,328.0,3.0,0.7428130081612688,13.0,0.5408548978782471,0.4418938307030129,0.21334681496461072,0.12787878787878787,0.6432926829268293,0.006031400740828343,ch3__benchmark__subj_052__p60__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/history/ch3__benchmark__subj_052__p60__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch3__benchmark__subj_052__p60__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_052,benchmark,100,scratch,ch3,3,"Cz,Pz,Oz",,42,,,,0.0001,,ok,,0.375,0.2644628099173554,6506.0,1302.0,2788.0,762.0,152.0,328.0,3.0,0.6704346200654401,13.0,0.560457564941503,0.44763271162123386,0.21747967479674796,0.13048780487804879,0.6524390243902439,0.02862223872958323,ch3__benchmark__subj_052__p100__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/history/ch3__benchmark__subj_052__p100__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch3__benchmark__subj_052__p100__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_053,benchmark,0,scratch,ch3,3,"Cz,Pz,Oz",,42,,,,,,error,"ValueError('Channel mismatch: X has C=3, mean=14, std=14')",,,,,,,,,,,,,,,,,,,,
subj_053,benchmark,10,scratch,ch3,3,"Cz,Pz,Oz",,42,,,,0.0001,,ok,,0.05,0.2087912087912088,811.0,163.0,3476.0,96.0,19.0,409.0,2.0,0.6898942582446373,12.0,0.5338523584525866,0.11766398158803222,0.21055341055341056,0.11766398158803222,1.0,0.009554172858013844,ch3__benchmark__subj_053__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/history/ch3__benchmark__subj_053__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch3__benchmark__subj_053__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_053,benchmark,20,scratch,ch3,3,"Cz,Pz,Oz",,42,,,,0.0001,,ok,,0.05,0.209366391184573,1623.0,325.0,3476.0,192.0,38.0,409.0,1.0,0.6924614667892456,11.0,0.5492692539797817,0.11766398158803222,0.21055341055341056,0.11766398158803222,1.0,0.008939760577149871,ch3__benchmark__subj_053__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/history/ch3__benchmark__subj_053__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch3__benchmark__subj_053__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_053,benchmark,40,scratch,ch3,3,"Cz,Pz,Oz",,42,,,,0.0001,,ok,,0.4,0.21720733427362482,3246.0,650.0,3476.0,384.0,77.0,409.0,1.0,0.6958113985795241,11.0,0.5434051098410957,0.15420023014959724,0.20882669537136705,0.11732688237072876,0.9486552567237164,0.006192994000740101,ch3__benchmark__subj_053__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/history/ch3__benchmark__subj_053__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch3/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch3__benchmark__subj_053__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
