subject_id,group,p,scenario,channel_set,n_channels,channels,ft_strategy,seed,encoder_checkpoint,lr_encoder,lr_head,weight_decay,warmup_epochs,status,error,selected_threshold,val_f1_at_selected_threshold,n_calib,n_val,n_test,n_pos_calib,n_pos_val,n_pos_test,best_epoch,best_val_loss,stopped_epoch,auc,accuracy,f1,precision,recall,fdr,run_tag,history_path,predictions_path
subj_052,benchmark,60,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.4,0.23507462686567165,3903.0,781.0,2788.0,457.0,91.0,328.0,1.0,0.7028202819763164,11.0,0.5337348800317272,0.48959827833572456,0.20900500277932185,0.12780421481985044,0.573170731707317,0.0006658544271511977,ch7__benchmark__subj_052__p60__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_052__p60__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_052__p60__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_052,benchmark,100,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.395,0.5148063781321185,6506.0,1302.0,2788.0,762.0,152.0,328.0,5.0,0.4920346204952527,15.0,0.7993766111441601,0.7618364418938307,0.40819964349376114,0.2884130982367758,0.698170731707317,0.703381377014179,ch7__benchmark__subj_052__p100__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_052__p100__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_052__p100__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_053,benchmark,0,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,,,error,"ValueError('Channel mismatch: X has C=7, mean=14, std=14')",,,,,,,,,,,,,,,,,,,,
subj_053,benchmark,10,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.05,0.2087912087912088,811.0,163.0,3476.0,96.0,19.0,409.0,1.0,0.6961018304151991,11.0,0.5113727406583051,0.11766398158803222,0.21055341055341056,0.11766398158803222,1.0,0.002625046931150528,ch7__benchmark__subj_053__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_053__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_053__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_053,benchmark,20,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.05,0.209366391184573,1623.0,325.0,3476.0,192.0,38.0,409.0,1.0,0.7001048055061927,11.0,0.5313830563224099,0.11766398158803222,0.21055341055341056,0.11766398158803222,1.0,0.0025919446160827427,ch7__benchmark__subj_053__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_053__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_053__p20__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_053,benchmark,40,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.28500000000000003,0.21300138312586445,3246.0,650.0,3476.0,384.0,77.0,409.0,1.0,0.7423872118729812,11.0,0.5150179009457089,0.11996547756041427,0.2101729925122644,0.11749422632794457,0.9951100244498777,0.00250095547456571,ch7__benchmark__subj_053__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_053__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_053__p40__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_053,benchmark,60,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.375,0.22107438016528927,4867.0,974.0,3476.0,575.0,115.0,409.0,3.0,0.7354425899301956,13.0,0.5663020576321963,0.21116225546605294,0.219248291571754,0.12407347728005157,0.941320293398533,0.040787444599243695,ch7__benchmark__subj_053__p60__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_053__p60__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_053__p60__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_053,benchmark,100,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.4,0.2558314522197141,8113.0,1623.0,3476.0,959.0,192.0,409.0,4.0,0.6542411411682618,14.0,0.6925844405665484,0.42031070195627157,0.2556335426671592,0.15056570931244562,0.8459657701711492,0.2582576130900544,ch7__benchmark__subj_053__p100__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_053__p100__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_053__p100__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
subj_055,benchmark,0,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,,,error,"ValueError('Channel mismatch: X has C=7, mean=14, std=14')",,,,,,,,,,,,,,,,,,,,
subj_055,benchmark,10,scratch,ch7,7,"Cz,Pz,Oz,P3,P4,PO7,PO8",,42,,,,0.0001,,ok,,0.05,0.20915032679738563,684.0,137.0,2930.0,81.0,16.0,346.0,1.0,0.6935792991714756,11.0,0.525707331913599,0.11808873720136519,0.21123321123321123,0.11808873720136519,1.0,0.0006897783009202144,ch7__benchmark__subj_055__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/history/ch7__benchmark__subj_055__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04.csv,/kaggle/working/stage5_results/channel_ablation/ch7/stage5_channel_ablation_scratch_benchmark/scratch/predictions/ch7__benchmark__subj_055__p10__scratch__seed42__lre1em05__lrh1em04__wd1em04.npz
