ssl_epoch,n_subjects,mean_auc,std_auc,median_auc,mean_f1,std_f1,median_f1,sem_auc,sem_f1
10,61,0.6464637013293516,0.13103322907460668,0.6315893891268508,0.3006242462860815,0.11870141982144533,0.2897130860741777,0.01677708581824507,0.015198159437542675
20,61,0.6344023412298798,0.12130399371053512,0.5915048133761188,0.28285059633386544,0.11632965717059181,0.2560794044665012,0.015531384878096554,0.014894486347786015
30,61,0.6216946437383158,0.11709143897039988,0.5812415500347095,0.27416620657344054,0.12219637443368159,0.2371002132196162,0.014992022512623106,0.01564564252160049
40,61,0.619483069292444,0.11192592717047412,0.5839421431755811,0.27481059383098877,0.12307471329865911,0.2365826944140197,0.014330646498504055,0.015758102289396014
50,61,0.6256700003750024,0.11315615251516241,0.5998557632008028,0.27607954102113336,0.12124073366650581,0.2404329339002706,0.014488160713252315,0.015523285259434624
60,61,0.6242397419557316,0.11357957780208464,0.5915725428007378,0.2746415683833176,0.11959052117399094,0.233160621761658,0.014542374765874527,0.015311997200666732
70,61,0.6184968970670495,0.11571490675799852,0.5758054772452679,0.2744539062211897,0.12403311447850011,0.2302483069977426,0.01481577562302011,0.015880812986186862
80,61,0.6240859611805669,0.11295006744653104,0.5821152068927078,0.2761167084312139,0.12332341598035162,0.2307692307692307,0.014461774224063997,0.015789945404790867
90,61,0.6244750018866582,0.11714233432113906,0.5864878762707171,0.27837808279369386,0.11929879810801604,0.2487479131886477,0.014998538994534842,0.015274645889494847
100,61,0.6276947319899017,0.11301787259281643,0.600449497336312,0.2799439076863426,0.12124167654043636,0.2464165904239097,0.014470455783437771,0.015523405982070861
