scenario,mean_delta_low,mean_delta_mid,delta_100,mean_ssl_low,mean_scr_low,subject,test_mean_delta_low,test_mean_delta_mid,test_delta_100,score_dev,score_total
full_ft,-0.0007165369247726927,0.01372726646459077,0.03847203086249651,0.5378855228713144,0.538602059796087,subjA,-0.016016814018484704,0.04204611489291049,0.061783994687032995,0.05691331978506459,0.04089650576657988
warmup,0.005490837696335127,0.008634007302287194,0.020687000551116053,0.5359755614494351,0.5304847237531001,subjA,-0.011389932342686315,0.015941840998395074,0.0905352399136643,0.050110524593552225,0.03872059225086591
low_lr,0.0032908514742353567,0.013850320336180777,0.013429319371727755,0.5337577500688895,0.5304668985946541,subjA,-0.020014250927002097,0.009610555371077578,0.06748782445071677,0.04407735429870499,0.024063103371702893
partial,-0.009795225957564047,-0.005350130890052429,-0.005232502066685019,0.5219923704877376,0.5317875964453017,subjA,-0.006264008799601595,0.0055077065692622496,0.009886407659527419,-0.0426433762744558,-0.0489073850740574
