subject_id,group,p,scenario,ft_strategy,seed,encoder_checkpoint,lr_encoder,lr_head,weight_decay,warmup_epochs,selected_threshold,val_f1_at_selected_threshold,n_calib,n_val,n_test,n_pos_calib,n_pos_val,n_pos_test,best_epoch,best_val_loss,stopped_epoch,auc,accuracy,f1,precision,recall,fdr,run_tag,history_path,predictions_path,status,error,ssl_epoch,ssl_checkpoint,run_part
subj_062,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,3e-05,0.0003,0.001,,0.4,0.5580110497237569,5710,1142,2446,680,136,288,7,0.5292014634129045,17,0.8616517351457111,0.8409648405560098,0.5057179161372299,0.3987975951903807,0.6909722222222222,1.2550174967403476,benchmark__subj_062__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,10,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,part1
subj_063,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,3e-05,0.0003,0.001,,0.395,0.2730923694779116,10400,2080,4456,1237,247,525,4,0.6469409722548265,14,0.6844767477074777,0.5433123877917415,0.2724347515194851,0.167693661971831,0.7257142857142858,0.2216010294291835,benchmark__subj_063__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,10,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,part1
subj_064,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,3e-05,0.0003,0.001,,0.4,0.3890909090909091,6824,1365,2924,799,160,344,6,0.6074456365553887,16,0.7560922570758969,0.7387140902872777,0.3492333901192504,0.2469879518072289,0.5959302325581395,0.471594809053634,benchmark__subj_064__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,10,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,part1
subj_066,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,3e-05,0.0003,0.001,,0.395,0.3222506393861892,6036,1208,2586,719,144,305,4,0.542966772783671,14,0.7564010607944459,0.5402165506573859,0.3001765744555621,0.1829268292682926,0.8360655737704918,0.5095560760554189,benchmark__subj_066__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,10,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,part1
subj_067,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,3e-05,0.0003,0.001,,0.395,0.410174880763116,7210,1442,3089,854,171,364,4,0.5206547925111821,14,0.7214618409113822,0.689543541599223,0.319375443577005,0.215311004784689,0.6181318681318682,0.3492404333953602,benchmark__subj_067__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,10,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,part1
subj_076,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,3e-05,0.0003,0.001,,0.395,0.3267429760665973,9346,1870,4005,1041,208,445,3,0.5968820163910402,13,0.729664815048605,0.6354556803995006,0.3034351145038167,0.1926105390672319,0.7146067415730337,0.3518240525857524,benchmark__subj_076__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,10,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,part1
subj_077,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,3e-05,0.0003,0.001,,0.4,0.5986842105263158,9073,1815,3888,1013,203,431,4,0.2928223661647355,14,0.9534882316185528,0.863940329218107,0.6037453183520599,0.4457964601769911,0.9350348027842228,3.6418485288590574,benchmark__subj_077__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,10,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,part1
subj_078,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,3e-05,0.0003,0.001,,0.4,0.2211055276381909,13414,2683,5748,1493,299,637,3,0.6829273330601036,13,0.5448655238324579,0.3347251217814892,0.2,0.1153753318851074,0.750392464678179,0.0038017577324696,benchmark__subj_078__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,10,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,part1
subj_079,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,3e-05,0.0003,0.001,,0.385,0.1997397527651268,13851,2771,5935,1536,307,659,1,0.6933745441777488,11,0.5086404953400804,0.1115417017691659,0.1999696555909573,0.111092380310182,1.0,1.4792665873113916e-05,benchmark__subj_079__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,10,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,part1
subj_080,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,3e-05,0.0003,0.001,,0.4,0.6751824817518248,8872,1775,3802,986,197,422,3,0.189278622941232,13,0.980994279144115,0.914255654918464,0.7130281690140845,0.5672268907563025,0.9597156398104264,5.463539488648029,benchmark__subj_080__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,10,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_010.pt,part1
