subject_id,group,p,scenario,ft_strategy,seed,encoder_checkpoint,lr_encoder,lr_head,weight_decay,warmup_epochs,selected_threshold,val_f1_at_selected_threshold,n_calib,n_val,n_test,n_pos_calib,n_pos_val,n_pos_test,best_epoch,best_val_loss,stopped_epoch,auc,accuracy,f1,precision,recall,fdr,run_tag,history_path,predictions_path,status,error,ssl_epoch,ssl_checkpoint
subj_062,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.4,0.21934369602763384,5710,1142,2446,680,136,288,1,0.6836913706124769,11,0.6070902198537741,0.2187244480784955,0.21968150265414454,0.12447940768162888,0.9340277777777778,0.08461439351741287,benchmark__subj_062__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_063,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.395,0.2226762002042901,10400,2080,4456,1237,247,525,3,0.6945082912078271,13,0.5947375561773933,0.2504488330341113,0.21889616463985032,0.12476672887230073,0.8914285714285715,0.07110267571767713,benchmark__subj_063__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_064,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.39,0.29403973509933773,6824,1365,2924,799,160,344,6,0.6659224863890764,16,0.696922322877231,0.6179890560875513,0.2898919262555626,0.1855166802278275,0.6627906976744186,0.26230153472061996,benchmark__subj_064__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_066,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.4,0.3695299837925446,6036,1208,2586,719,144,305,4,0.5212482735021224,14,0.754416024033175,0.6450116009280742,0.3318777292576419,0.21328344246959777,0.7475409836065574,0.4919013960795098,benchmark__subj_066__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_067,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.4,0.4124783362218371,7210,1442,3089,854,171,364,5,0.5777129589188611,15,0.6978949490876096,0.7695046940757526,0.3219047619047619,0.24635568513119532,0.4642857142857143,0.28512647561801113,benchmark__subj_067__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_076,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.4,0.2412914188615123,9346,1870,4005,1041,208,445,2,0.634614504403609,12,0.6510390102259815,0.6109862671660424,0.2616113744075829,0.16576576576576577,0.6202247191011236,0.13493952744465598,benchmark__subj_076__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_077,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.4,0.6334519572953736,9073,1815,3888,1013,203,431,5,0.3099676030398072,15,0.9568265605882545,0.8953189300411523,0.6594142259414226,0.5157068062827225,0.91415313225058,4.070561728200882,benchmark__subj_077__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_078,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.4,0.20887096774193548,13414,2683,5748,1493,299,637,3,0.6813948968209484,13,0.5532039584643212,0.24112734864300625,0.20255941499085922,0.11462859507552245,0.869701726844584,0.004041372804569971,benchmark__subj_078__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_079,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.355,0.20006559527714005,13851,2771,5935,1536,307,659,1,0.6950817393163876,11,0.5238871932454462,0.12181971356360573,0.20036821110770175,0.11145246629117597,0.9908952959028832,0.0013280620437296174,benchmark__subj_079__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
subj_080,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt,3e-05,0.0003,0.001,,0.4,0.7845804988662132,8872,1775,3802,986,197,422,4,0.23991115526414253,14,0.9828185030427101,0.9518674381904261,0.805111821086262,0.7311411992263056,0.8957345971563981,5.135935396107222,benchmark__subj_080__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,70,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_070.pt
