subject_id,group,p,scenario,ft_strategy,seed,encoder_checkpoint,lr_encoder,lr_head,weight_decay,warmup_epochs,selected_threshold,val_f1_at_selected_threshold,n_calib,n_val,n_test,n_pos_calib,n_pos_val,n_pos_test,best_epoch,best_val_loss,stopped_epoch,auc,accuracy,f1,precision,recall,fdr,run_tag,history_path,predictions_path,status,error,ssl_epoch,ssl_checkpoint
subj_051,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_090.pt,3e-05,0.0003,0.001,,0.4,0.2860727728983689,6230,1246,2670,740,148,314,4,0.640905361114306,14,0.7205157181015,0.5722846441947566,0.2941903584672435,0.18251533742331288,0.7579617834394905,0.3356148233618865,benchmark__subj_051__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,90,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_090.pt
subj_052,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_090.pt,3e-05,0.0003,0.001,,0.395,0.2626728110599078,6506,1302,2788,762,152,328,3,0.6623243186880367,13,0.5984037279397184,0.47919655667144906,0.23174603174603176,0.14020486555697823,0.6676829268292683,0.06270517260089344,benchmark__subj_052__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,90,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_090.pt
subj_053,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_090.pt,3e-05,0.0003,0.001,,0.4,0.2315939957112223,8113,1623,3476,959,192,409,3,0.6726985453310677,13,0.6219540291278003,0.36363636363636365,0.231410701876303,0.13487241798298907,0.8141809290953546,0.09290985742128384,benchmark__subj_053__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,90,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_090.pt
subj_055,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_090.pt,3e-05,0.0003,0.001,,0.4,0.3086900129701686,6838,1368,2930,809,162,346,5,0.577544346364618,15,0.7286905635390756,0.5938566552901023,0.30409356725146197,0.1906158357771261,0.7514450867052023,0.37353326685138855,benchmark__subj_055__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,90,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_090.pt
subj_056,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_090.pt,3e-05,0.0003,0.001,,0.365,0.218812541694463,7722,1545,3309,909,182,388,4,0.6940301649778792,14,0.5575216085438894,0.19643396796615292,0.21261474681670123,0.12010705921712947,0.9252577319587629,0.015967570310112405,benchmark__subj_056__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,90,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_090.pt
subj_057,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_090.pt,3e-05,0.0003,0.001,,0.4,0.24866785079928952,8590,1718,3681,1012,202,434,3,0.6745864857200694,13,0.5625724702987089,0.5571855474055963,0.21709894332372717,0.13713592233009708,0.5207373271889401,0.019262375801900718,benchmark__subj_057__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,90,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_090.pt
subj_058,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_090.pt,3e-05,0.0003,0.001,,0.395,0.34575260804769004,7324,1465,3138,867,173,369,5,0.6189929237951598,15,0.6983169253866609,0.6889738687061823,0.3078014184397163,0.2084534101825168,0.5880758807588076,0.27717027341297334,benchmark__subj_058__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,90,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_090.pt
subj_059,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_090.pt,3e-05,0.0003,0.001,,0.365,0.21119773210489015,6316,1264,2706,744,149,318,2,0.6959536498105978,12,0.5025270482390991,0.11788617886178862,0.20986428334988413,0.11727709951905291,0.9968553459119497,0.00031180672808843544,benchmark__subj_059__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,90,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_090.pt
subj_060,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_090.pt,3e-05,0.0003,0.001,,0.4,0.3492063492063492,6072,1215,2601,718,144,306,4,0.5501941801589212,14,0.7565751064405428,0.5497885428681276,0.2992220227408737,0.18315018315018314,0.8169934640522876,0.4831043762124393,benchmark__subj_060__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,90,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_090.pt
subj_061,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_090.pt,3e-05,0.0003,0.001,,0.39,0.2359952324195471,10666,2134,4570,1253,251,536,3,0.6670988976899552,13,0.6130447169210961,0.41072210065645515,0.22503597122302157,0.13303844845185436,0.7294776119402985,0.08522198076735354,benchmark__subj_061__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,90,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_090.pt
