subject_id,group,p,scenario,ft_strategy,seed,encoder_checkpoint,lr_encoder,lr_head,weight_decay,warmup_epochs,selected_threshold,val_f1_at_selected_threshold,n_calib,n_val,n_test,n_pos_calib,n_pos_val,n_pos_test,best_epoch,best_val_loss,stopped_epoch,auc,accuracy,f1,precision,recall,fdr,run_tag,history_path,predictions_path,status,error,ssl_epoch,ssl_checkpoint
subj_051,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt,3e-05,0.0003,0.001,,0.4,0.22350993377483444,6230,1246,2670,740,148,314,1,0.6893422542376082,11,0.5667857104235832,0.2599250936329588,0.21835443037974683,0.12466124661246612,0.8789808917197452,0.01921673379763393,benchmark__subj_051__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,30,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt
subj_052,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt,3e-05,0.0003,0.001,,0.4,0.22541966426858512,6506,1302,2788,762,152,328,2,0.675114685580844,12,0.5880986020226056,0.20911047345767575,0.21334284694969674,0.12080808080808081,0.9115853658536586,0.012493560622902555,benchmark__subj_052__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,30,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt
subj_053,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt,3e-05,0.0003,0.001,,0.39,0.21363910681955342,8113,1623,3476,959,192,409,1,0.690280118623194,11,0.5531507816865872,0.19188722669735328,0.20850943927867005,0.1178343949044586,0.9046454767726161,0.018661866567398325,benchmark__subj_053__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,30,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt
subj_055,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt,3e-05,0.0003,0.001,,0.4,0.3424124513618677,6838,1368,2930,809,162,346,5,0.5354272751083151,15,0.7388184738452728,0.6167235494880546,0.3131498470948012,0.19860356865787432,0.7398843930635838,0.4105145065664408,benchmark__subj_055__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,30,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt
subj_056,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt,3e-05,0.0003,0.001,,0.39,0.2133176193282263,7722,1545,3309,909,182,388,2,0.6905937099148155,12,0.5286584526553186,0.12934421275309763,0.20960219478738,0.11728584587043292,0.9845360824742269,0.00016201504908697502,benchmark__subj_056__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,30,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt
subj_057,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt,3e-05,0.0003,0.001,,0.4,0.23627519110493397,8590,1718,3681,1012,202,434,3,0.6749048361400787,13,0.5505039036388073,0.39418636240152133,0.2169943820224719,0.128003314001657,0.7119815668202765,0.015126632634139553,benchmark__subj_057__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,30,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt
subj_058,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt,3e-05,0.0003,0.001,,0.365,0.293598233995585,7324,1465,3138,867,173,369,5,0.651511823439354,15,0.6958300424463254,0.541427660930529,0.27506297229219145,0.16893564356435645,0.7398373983739838,0.277162637064243,benchmark__subj_058__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,30,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt
subj_059,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt,3e-05,0.0003,0.001,,0.4,0.21164772727272727,6316,1264,2706,744,149,318,1,0.694864852518975,11,0.5012391622683648,0.1197339246119734,0.21021220159151194,0.11749444032616753,0.9968553459119497,7.453532688987468e-05,benchmark__subj_059__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,30,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt
subj_060,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt,3e-05,0.0003,0.001,,0.4,0.38591117917304746,6072,1215,2601,718,144,306,4,0.49360381099912853,14,0.8000170874449999,0.5943867743175701,0.3267389917038928,0.20301348136399683,0.8366013071895425,0.687467983102792,benchmark__subj_060__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,30,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt
subj_061,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt,3e-05,0.0003,0.001,,0.4,0.23687423687423687,10666,2134,4570,1253,251,536,2,0.6641072968288125,12,0.5935985355818825,0.4085339168490153,0.22260569456427956,0.13158789527371642,0.7220149253731343,0.06734576272578607,benchmark__subj_061__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,30,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt
subj_062,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt,3e-05,0.0003,0.001,,0.4,0.2887139107611549,5710,1142,2446,680,136,288,4,0.6043381749435398,14,0.7545518612913191,0.5004088307440719,0.28454332552693207,0.17112676056338028,0.84375,0.43622626444174045,benchmark__subj_062__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,30,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt
subj_063,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt,3e-05,0.0003,0.001,,0.395,0.22306442880346508,10400,2080,4456,1237,247,525,3,0.6888541184938871,13,0.6142273261377815,0.26570915619389585,0.2261116367076632,0.12908452605995138,0.9104761904761904,0.08421781819879803,benchmark__subj_063__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,30,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_030.pt
