subject_id,group,p,scenario,ft_strategy,seed,encoder_checkpoint,lr_encoder,lr_head,weight_decay,warmup_epochs,selected_threshold,val_f1_at_selected_threshold,n_calib,n_val,n_test,n_pos_calib,n_pos_val,n_pos_test,best_epoch,best_val_loss,stopped_epoch,auc,accuracy,f1,precision,recall,fdr,run_tag,history_path,predictions_path,status,error,ssl_epoch,ssl_checkpoint
subj_051,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt,3e-05,0.0003,0.001,,0.395,0.2555831265508685,6230,1246,2670,740,148,314,4,0.6830234246307545,14,0.6998583370281055,0.5048689138576778,0.27282728272827284,0.16489361702127658,0.7898089171974523,0.2760015456108584,benchmark__subj_051__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,50,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt
subj_052,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt,3e-05,0.0003,0.001,,0.395,0.2404274265360641,6506,1302,2788,762,152,328,2,0.6704687079709429,12,0.569602667063256,0.35294117647058826,0.21565217391304348,0.1257606490872211,0.7560975609756098,0.037400756399318946,benchmark__subj_052__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,50,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt
subj_053,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt,3e-05,0.0003,0.001,,0.4,0.23114186851211072,8113,1623,3476,959,192,409,3,0.6707232713111742,13,0.6170656479616199,0.32163406214039125,0.22332015810276679,0.12904453749524172,0.8288508557457213,0.09031742773169384,benchmark__subj_053__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,50,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt
subj_055,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt,3e-05,0.0003,0.001,,0.38,0.3748125937031484,6838,1368,2930,809,162,346,5,0.5332077105491482,15,0.7371821256643821,0.6658703071672355,0.32155232155232155,0.211485870556062,0.6705202312138728,0.411224908566797,benchmark__subj_055__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,50,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt
subj_056,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt,3e-05,0.0003,0.001,,0.36,0.26681367144432194,7722,1545,3309,909,182,388,6,0.6900050272061987,16,0.6005079640145834,0.4635841644001209,0.22725293861558554,0.13672079622839184,0.6726804123711341,0.06042840562910604,benchmark__subj_056__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,50,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt
subj_057,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt,3e-05,0.0003,0.001,,0.35,0.2282420749279539,8590,1718,3681,1012,202,434,3,0.665347515912217,13,0.5786362171958802,0.22792719369736483,0.21923076923076923,0.12445414847161572,0.9193548387096774,0.03422352757340142,benchmark__subj_057__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,50,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt
subj_058,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt,3e-05,0.0003,0.001,,0.395,0.2691131498470948,7324,1465,3138,867,173,369,3,0.6476155417364206,13,0.6597296236595446,0.507010834926705,0.26508313539192396,0.16071428571428573,0.7560975609756098,0.1758278382672367,benchmark__subj_058__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,50,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt
subj_059,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt,3e-05,0.0003,0.001,,0.36,0.21164772727272727,6316,1264,2706,744,149,318,1,0.6907376232026499,11,0.5009678897632818,0.11788617886178862,0.2103870327489249,0.11756007393715343,1.0,0.0001623205543998211,benchmark__subj_059__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,50,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt
subj_060,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt,3e-05,0.0003,0.001,,0.385,0.3829787234042553,6072,1215,2601,718,144,306,4,0.4950016936156975,14,0.7757813946203026,0.5686274509803921,0.3125,0.19230769230769232,0.8333333333333334,0.6000773321419555,benchmark__subj_060__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,50,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt
subj_061,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt,3e-05,0.0003,0.001,,0.395,0.22722722722722724,10666,2134,4570,1253,251,536,2,0.6671916179379908,12,0.6048753505649739,0.2658643326039387,0.21849522478453295,0.12483364386478574,0.875,0.0705356703355746,benchmark__subj_061__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,50,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt
subj_062,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt,3e-05,0.0003,0.001,,0.4,0.2832116788321168,5710,1142,2446,680,136,288,4,0.6682229777977471,14,0.7190524920193595,0.5670482420278005,0.2925851703406814,0.18114143920595532,0.7604166666666666,0.33535464996967546,benchmark__subj_062__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,50,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt
subj_063,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt,3e-05,0.0003,0.001,,0.4,0.21412505623031938,10400,2080,4456,1237,247,525,2,0.6958928383313693,12,0.5746219912538916,0.13330341113105926,0.21215830273357814,0.11880283299063285,0.9904761904761905,0.03799698396105801,benchmark__subj_063__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,50,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt
subj_064,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt,3e-05,0.0003,0.001,,0.4,0.2454308093994778,6824,1365,2924,799,160,344,4,0.6611132006287138,14,0.6756242112853794,0.3279753761969904,0.2404329339002706,0.1386535889433794,0.9040697674418605,0.20574560769339123,benchmark__subj_064__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,50,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt
subj_066,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt,3e-05,0.0003,0.001,,0.4,0.3496932515337423,6036,1208,2586,719,144,305,4,0.5394325191216753,14,0.7587224470141798,0.6140757927300851,0.3220108695652174,0.20308483290488433,0.7770491803278688,0.4920567765270717,benchmark__subj_066__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,50,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt
subj_067,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt,3e-05,0.0003,0.001,,0.4,0.3716216216216216,7210,1442,3089,854,171,364,4,0.5979923605918884,14,0.6990321605000503,0.7397215927484623,0.29965156794425085,0.2193877551020408,0.4725274725274725,0.2870140045799086,benchmark__subj_067__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,50,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt
subj_076,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt,3e-05,0.0003,0.001,,0.4,0.2727272727272727,9346,1870,4005,1041,208,445,3,0.5845564645879409,13,0.7001047847494003,0.6092384519350812,0.28440786465477824,0.17853042479908152,0.698876404494382,0.26440962396223655,benchmark__subj_076__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,50,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt
subj_077,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt,3e-05,0.0003,0.001,,0.4,0.586709886547812,9073,1815,3888,1013,203,431,5,0.30415588216676526,15,0.9669945710207004,0.8752572016460906,0.6213895394223263,0.4682352941176471,0.9234338747099768,4.524649705618463,benchmark__subj_077__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,50,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt
subj_078,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt,3e-05,0.0003,0.001,,0.35,0.21403371226969817,13414,2683,5748,1493,299,637,4,0.6860488542326786,14,0.5448973141624845,0.2632219902574809,0.1995841995841996,0.11345079501504082,0.8288854003139717,0.01218608940096666,benchmark__subj_078__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,50,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt
subj_079,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt,3e-05,0.0003,0.001,,0.39,0.20067340067340067,13851,2771,5935,1536,307,659,1,0.696500104908821,11,0.5006922865416275,0.14860994102780117,0.19857256145915939,0.11087495572086432,0.9499241274658573,0.000525813656788894,benchmark__subj_079__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,50,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt
subj_080,benchmark,100,ssl_ft,full_ft,42,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt,3e-05,0.0003,0.001,,0.4,0.7323340471092077,8872,1775,3802,986,197,422,4,0.22940680310759745,14,0.9805287585181861,0.9445028932140979,0.7835897435897435,0.6907775768535263,0.9052132701421801,5.067693685542981,benchmark__subj_080__p100__ssl_ft__seed42__full_ft__lre3em05__lrh3em04__wd1em03,,,ok,,50,/kaggle/input/datasets/taisiyaglazova/ssl-checkpoints/checkpoints/encoder_epoch_050.pt
