channel_set,p,mean_diff_auc,median_diff_auc,frac_ge_0_auc,p_value_auc,mean_diff_f1,median_diff_f1,frac_ge_0_f1,p_value_f1,p_adj_auc,significant_auc,p_adj_f1,significant_f1
ch7,10,-0.0029614233867271333,-0.00039508340649691,0.4918032786885246,0.5826744816192908,0.0008462202407368417,0.0,0.819672131147541,0.978915274143219,0.8363826281692107,False,0.978915274143219,False
ch7,20,-0.0042729849031734055,-0.0037203900719567917,0.4426229508196721,0.5064300141767835,0.0020806145389734103,0.0,0.6721311475409836,0.858365432737628,0.8363826281692107,False,0.9537393697084755,False
ch7,40,0.004044515348755421,0.001890416712254428,0.5245901639344263,0.5975451371925583,0.007596248907404004,0.00041655095806719666,0.6065573770491803,0.17668270799289687,0.8363826281692107,False,0.35336541598579374,False
ch7,60,0.034336560158324946,0.010122535961640922,0.7213114754098361,0.00019037931800086597,0.021478970828288396,0.0012346957787565116,0.7213114754098361,0.0009334472485057258,0.0009518965900043298,True,0.0031114908283524194,True
ch7,100,0.103303705626345,0.08690786058866651,0.8032786885245902,1.0442783024950951e-07,0.07242909490721769,0.025759994352254595,0.8852459016393442,1.5747864485630498e-09,1.044278302495095e-06,True,1.5747864485630498e-08,True
ch3,10,-0.0006007269074193641,0.003323763491659748,0.5737704918032787,0.6691061025353686,-0.0005066359043455654,0.0,0.8360655737704918,0.8531995415687561,0.8363826281692107,False,0.9537393697084755,False
ch3,20,0.0001083384436987728,0.003192993546839773,0.5245901639344263,0.9455974762632433,-0.0013613851746309149,0.0,0.6885245901639344,0.5706635903334245,0.9455974762632433,False,0.8152337004763208,False
ch3,40,0.0004308409270059308,0.003441131938292652,0.5081967213114754,0.8154195930301376,-0.0016047535848441644,-0.000423622013212388,0.4262295081967213,0.279693671463618,0.9060217700334862,False,0.46615611910603005,False
ch3,60,0.01065462925815975,0.004422005118678074,0.5573770491803278,0.09073301455987556,0.008681821505492186,0.0015288906130109803,0.7213114754098361,0.02450282133892816,0.2268325363996889,False,0.0612570533473204,False
ch3,100,0.038622365380165447,0.012642882100429187,0.6721311475409836,0.003422696958425588,0.02437588799854199,0.004974292055631796,0.7049180327868853,1.773036397697608e-05,0.011408989861418627,True,8.86518198848804e-05,True
